index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
2193.0,home win,1.61,4.0,5.5,10,2,6,4,4,8,45,52,38,85,5,1
2194.0,home win,1.61,4.0,5.5,5,1,5,4,6,11,74,51,43,54,7,3
2195.0,draw,2.62,3.5,2.62,4,4,7,3,10,6,51,39,67,82,-22,-10
2196.0,home win,3.3,3.6,2.15,11,12,7,11,3,5,40,89,65,53,-7,16
2197.0,home win,1.9,3.3,4.5,7,4,4,5,4,11,53,52,51,61,7,-3
2198.0,home win,1.5,4.33,6.5,6,8,9,6,9,7,76,69,50,55,10,-2
2199.0,home win,2.25,3.3,3.3,3,7,4,6,9,7,67,46,58,64,1,-16
2200.0,home win,1.75,3.6,5.0,13,12,14,9,6,2,66,58,58,57,9,-4
2201.0,away win,2.5,3.2,3.0,6,5,7,5,7,6,56,46,57,67,-6,-6
2202.0,home win,1.3,5.5,9.5,9,8,10,7,6,6,85,79,53,47,14,11
